Event&Year|Track|Car|Parameter|Event|Scored Time in s|Scored EnergyConsumption in kWh|Scores|
Overall Points|-|-|12250|-|-|-|533|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12250|Endurance|24.298243|-|247|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12250|AutoX|0.972682|-|81|
FSA 2015|Skidpad|FSG15e2D|12250|Skidpad|5.148746|-|57|
FSA 2015|Acceleration|FSG15e2D|12250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12250|Efficiency|24.298243|7.009853|91|
Overall Points|-|-|12250|-|-|-|533|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12250|Endurance|24.298243|-|247|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12250|AutoX|0.972682|-|81|
FSA 2015|Skidpad|FSG15e2D|12250|Skidpad|5.148746|-|57|
FSA 2015|Acceleration|FSG15e2D|12250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12250|Efficiency|24.298243|7.009853|91|
Overall Points|-|-|12250|-|-|-|533|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12500|Endurance|24.218844|-|251|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12500|AutoX|0.969207|-|83|
FSA 2015|Skidpad|FSG15e2D|12500|Skidpad|5.126114|-|59|
FSA 2015|Acceleration|FSG15e2D|12500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12500|Efficiency|24.218844|7.051694|91|
Overall Points|-|-|12500|-|-|-|540|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12500|Endurance|24.218844|-|251|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12500|AutoX|0.969207|-|83|
FSA 2015|Skidpad|FSG15e2D|12500|Skidpad|5.126114|-|59|
FSA 2015|Acceleration|FSG15e2D|12500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12500|Efficiency|24.218844|7.051694|91|
Overall Points|-|-|12500|-|-|-|540|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12500|Endurance|24.218844|-|251|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12500|AutoX|0.969207|-|83|
FSA 2015|Skidpad|FSG15e2D|12500|Skidpad|5.126114|-|59|
FSA 2015|Acceleration|FSG15e2D|12500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12500|Efficiency|24.218844|7.051694|91|
Overall Points|-|-|12500|-|-|-|540|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12750|Endurance|24.140460|-|254|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12750|AutoX|0.965776|-|84|
FSA 2015|Skidpad|FSG15e2D|12750|Skidpad|5.103777|-|60|
FSA 2015|Acceleration|FSG15e2D|12750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12750|Efficiency|24.140460|7.093320|91|
Overall Points|-|-|12750|-|-|-|546|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12750|Endurance|24.140460|-|254|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12750|AutoX|0.965776|-|84|
FSA 2015|Skidpad|FSG15e2D|12750|Skidpad|5.103777|-|60|
FSA 2015|Acceleration|FSG15e2D|12750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12750|Efficiency|24.140460|7.093320|91|
Overall Points|-|-|12750|-|-|-|546|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|12750|Endurance|24.140460|-|254|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|12750|AutoX|0.965776|-|84|
FSA 2015|Skidpad|FSG15e2D|12750|Skidpad|5.103777|-|60|
FSA 2015|Acceleration|FSG15e2D|12750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|12750|Efficiency|24.140460|7.093320|91|
Overall Points|-|-|12750|-|-|-|546|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13000|Endurance|24.063077|-|258|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13000|AutoX|0.962388|-|86|
FSA 2015|Skidpad|FSG15e2D|13000|Skidpad|5.081731|-|62|
FSA 2015|Acceleration|FSG15e2D|13000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13000|Efficiency|24.063077|7.134718|91|
Overall Points|-|-|13000|-|-|-|553|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13000|Endurance|24.063077|-|258|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13000|AutoX|0.962388|-|86|
FSA 2015|Skidpad|FSG15e2D|13000|Skidpad|5.081731|-|62|
FSA 2015|Acceleration|FSG15e2D|13000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13000|Efficiency|24.063077|7.134718|91|
Overall Points|-|-|13000|-|-|-|553|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13000|Endurance|24.063077|-|258|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13000|AutoX|0.962388|-|86|
FSA 2015|Skidpad|FSG15e2D|13000|Skidpad|5.081731|-|62|
FSA 2015|Acceleration|FSG15e2D|13000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13000|Efficiency|24.063077|7.134718|91|
Overall Points|-|-|13000|-|-|-|553|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13250|Endurance|23.986667|-|261|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13250|AutoX|0.959043|-|87|
FSA 2015|Skidpad|FSG15e2D|13250|Skidpad|5.059967|-|64|
FSA 2015|Acceleration|FSG15e2D|13250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13250|Efficiency|23.986667|7.175922|91|
Overall Points|-|-|13250|-|-|-|560|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13250|Endurance|23.986667|-|261|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13250|AutoX|0.959043|-|87|
FSA 2015|Skidpad|FSG15e2D|13250|Skidpad|5.059967|-|64|
FSA 2015|Acceleration|FSG15e2D|13250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13250|Efficiency|23.986667|7.175922|91|
Overall Points|-|-|13250|-|-|-|560|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13250|Endurance|23.986667|-|261|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13250|AutoX|0.959043|-|87|
FSA 2015|Skidpad|FSG15e2D|13250|Skidpad|5.059967|-|64|
FSA 2015|Acceleration|FSG15e2D|13250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13250|Efficiency|23.986667|7.175922|91|
Overall Points|-|-|13250|-|-|-|560|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13500|Endurance|23.911209|-|265|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13500|AutoX|0.955740|-|89|
FSA 2015|Skidpad|FSG15e2D|13500|Skidpad|5.038481|-|65|
FSA 2015|Acceleration|FSG15e2D|13500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13500|Efficiency|23.911209|7.216939|90|
Overall Points|-|-|13500|-|-|-|566|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13500|Endurance|23.911209|-|265|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13500|AutoX|0.955740|-|89|
FSA 2015|Skidpad|FSG15e2D|13500|Skidpad|5.038481|-|65|
FSA 2015|Acceleration|FSG15e2D|13500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13500|Efficiency|23.911209|7.216939|90|
Overall Points|-|-|13500|-|-|-|566|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13500|Endurance|23.911209|-|265|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13500|AutoX|0.955740|-|89|
FSA 2015|Skidpad|FSG15e2D|13500|Skidpad|5.038481|-|65|
FSA 2015|Acceleration|FSG15e2D|13500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13500|Efficiency|23.911209|7.216939|90|
Overall Points|-|-|13500|-|-|-|566|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13750|Endurance|23.836674|-|269|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13750|AutoX|0.952477|-|91|
FSA 2015|Skidpad|FSG15e2D|13750|Skidpad|5.017266|-|67|
FSA 2015|Acceleration|FSG15e2D|13750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13750|Efficiency|23.836674|7.257755|90|
Overall Points|-|-|13750|-|-|-|573|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13750|Endurance|23.836674|-|269|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13750|AutoX|0.952477|-|91|
FSA 2015|Skidpad|FSG15e2D|13750|Skidpad|5.017266|-|67|
FSA 2015|Acceleration|FSG15e2D|13750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13750|Efficiency|23.836674|7.257755|90|
Overall Points|-|-|13750|-|-|-|573|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|13750|Endurance|23.836674|-|269|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|13750|AutoX|0.952477|-|91|
FSA 2015|Skidpad|FSG15e2D|13750|Skidpad|5.017266|-|67|
FSA 2015|Acceleration|FSG15e2D|13750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|13750|Efficiency|23.836674|7.257755|90|
Overall Points|-|-|13750|-|-|-|573|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14000|Endurance|23.763044|-|272|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14000|AutoX|0.949254|-|92|
FSA 2015|Skidpad|FSG15e2D|14000|Skidpad|4.996317|-|68|
FSA 2015|Acceleration|FSG15e2D|14000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14000|Efficiency|23.763044|7.298402|90|
Overall Points|-|-|14000|-|-|-|580|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14000|Endurance|23.763044|-|272|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14000|AutoX|0.949254|-|92|
FSA 2015|Skidpad|FSG15e2D|14000|Skidpad|4.996317|-|68|
FSA 2015|Acceleration|FSG15e2D|14000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14000|Efficiency|23.763044|7.298402|90|
Overall Points|-|-|14000|-|-|-|580|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14000|Endurance|23.763044|-|272|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14000|AutoX|0.949254|-|92|
FSA 2015|Skidpad|FSG15e2D|14000|Skidpad|4.996317|-|68|
FSA 2015|Acceleration|FSG15e2D|14000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14000|Efficiency|23.763044|7.298402|90|
Overall Points|-|-|14000|-|-|-|580|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14250|Endurance|23.690308|-|276|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14250|AutoX|0.946071|-|94|
FSA 2015|Skidpad|FSG15e2D|14250|Skidpad|4.975629|-|70|
FSA 2015|Acceleration|FSG15e2D|14250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14250|Efficiency|23.690308|7.338872|90|
Overall Points|-|-|14250|-|-|-|586|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14250|Endurance|23.690308|-|276|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14250|AutoX|0.946071|-|94|
FSA 2015|Skidpad|FSG15e2D|14250|Skidpad|4.975629|-|70|
FSA 2015|Acceleration|FSG15e2D|14250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14250|Efficiency|23.690308|7.338872|90|
Overall Points|-|-|14250|-|-|-|586|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14250|Endurance|23.690308|-|276|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14250|AutoX|0.946071|-|94|
FSA 2015|Skidpad|FSG15e2D|14250|Skidpad|4.975629|-|70|
FSA 2015|Acceleration|FSG15e2D|14250|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14250|Efficiency|23.690308|7.338872|90|
Overall Points|-|-|14250|-|-|-|586|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14500|Endurance|23.618443|-|279|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14500|AutoX|0.942925|-|95|
FSA 2015|Skidpad|FSG15e2D|14500|Skidpad|4.955195|-|72|
FSA 2015|Acceleration|FSG15e2D|14500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14500|Efficiency|23.618443|7.379175|90|
Overall Points|-|-|14500|-|-|-|593|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14500|Endurance|23.618443|-|279|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14500|AutoX|0.942925|-|95|
FSA 2015|Skidpad|FSG15e2D|14500|Skidpad|4.955195|-|72|
FSA 2015|Acceleration|FSG15e2D|14500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14500|Efficiency|23.618443|7.379175|90|
Overall Points|-|-|14500|-|-|-|593|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14500|Endurance|23.618443|-|279|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14500|AutoX|0.942925|-|95|
FSA 2015|Skidpad|FSG15e2D|14500|Skidpad|4.955195|-|72|
FSA 2015|Acceleration|FSG15e2D|14500|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14500|Efficiency|23.618443|7.379175|90|
Overall Points|-|-|14500|-|-|-|593|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14750|Endurance|23.547414|-|283|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14750|AutoX|0.939816|-|97|
FSA 2015|Skidpad|FSG15e2D|14750|Skidpad|4.935011|-|73|
FSA 2015|Acceleration|FSG15e2D|14750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14750|Efficiency|23.547414|7.419316|89|
Overall Points|-|-|14750|-|-|-|599|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14750|Endurance|23.547414|-|283|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14750|AutoX|0.939816|-|97|
FSA 2015|Skidpad|FSG15e2D|14750|Skidpad|4.935011|-|73|
FSA 2015|Acceleration|FSG15e2D|14750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14750|Efficiency|23.547414|7.419316|89|
Overall Points|-|-|14750|-|-|-|599|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|14750|Endurance|23.547414|-|283|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|14750|AutoX|0.939816|-|97|
FSA 2015|Skidpad|FSG15e2D|14750|Skidpad|4.935011|-|73|
FSA 2015|Acceleration|FSG15e2D|14750|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|14750|Efficiency|23.547414|7.419316|89|
Overall Points|-|-|14750|-|-|-|599|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|15000|Endurance|23.477213|-|286|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|15000|AutoX|0.936744|-|98|
FSA 2015|Skidpad|FSG15e2D|15000|Skidpad|4.915071|-|75|
FSA 2015|Acceleration|FSG15e2D|15000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|15000|Efficiency|23.477213|7.459303|89|
Overall Points|-|-|15000|-|-|-|605|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|15000|Endurance|23.477213|-|286|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|15000|AutoX|0.936744|-|98|
FSA 2015|Skidpad|FSG15e2D|15000|Skidpad|4.915071|-|75|
FSA 2015|Acceleration|FSG15e2D|15000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|15000|Efficiency|23.477213|7.459303|89|
Overall Points|-|-|15000|-|-|-|605|
FSA 2015|Endurance_FSA15_Curvature|FSG15e2D|15000|Endurance|23.477213|-|286|
FSA 2015|AutoX_FSA15_Curvature|FSG15e2D|15000|AutoX|0.936744|-|98|
FSA 2015|Skidpad|FSG15e2D|15000|Skidpad|4.915071|-|75|
FSA 2015|Acceleration|FSG15e2D|15000|Acceleration|3.425000|-|55|
FSA 2015|Efficiency_FSA15_Curvature|FSG15e2D|15000|Efficiency|23.477213|7.459303|89|
Overall Points|-|-|15000|-|-|-|605|
